"","Dispatching_base_num","numOutput","year","month","day","hour","Borough","Zone","ZipCode","Date","TemperatureF","Preci","Events"
"56","B02512",9,2015,1,3,7,"Queens","JFK Airport","11430","2015/1/3 7:51",34,"N/A",""
"57","B02512",6,2015,1,3,8,"Manhattan","Upper West Side North","10024","2015/1/3 8:51",35.1,"N/A",""
"58","B02512",22,2015,1,3,9,"Manhattan","Lincoln Square East","10023","2015/1/3 9:51",36,"N/A",""
"59","B02512",75,2015,1,3,10,"Manhattan","TriBeCa/Civic Center","11201","2015/1/3 10:51",37,"N/A",""
"60","B02512",37,2015,1,3,11,"Manhattan","Upper East Side North","10075","2015/1/3 11:51",37.9,"N/A",""
"61","B02512",135,2015,1,3,12,"Manhattan","Lower East Side","10002","2015/1/3 12:20",37.9,"0","Snow"
"62","B02512",183,2015,1,3,13,"Manhattan","East Chelsea","10011","2015/1/3 13:02",36,"0",""
"63","B02512",292,2015,1,3,14,"Manhattan","Yorkville West","10028","2015/1/3 14:42",34,"0.05","Snow"
"64","B02512",308,2015,1,3,15,"Manhattan","Upper West Side South","10024","2015/1/3 15:51",35.1,"0.07","Rain"
"65","B02512",243,2015,1,3,16,"Manhattan","Midtown North","10036","2015/1/3 16:51",36,"0.06","Rain"
"66","B02512",320,2015,1,3,17,"Manhattan","Central Harlem North","10035","2015/1/3 17:51",37,"0.12","Rain"
"67","B02512",258,2015,1,3,18,"Brooklyn","Downtown Brooklyn/MetroTech","11201","2015/1/3 18:51",37,"0.06","Rain"
"68","B02512",345,2015,1,3,19,"Manhattan","Lower East Side","10002","2015/1/3 19:51",39,"0.12","Rain"
"69","B02512",267,2015,1,3,20,"Manhattan","UN/Turtle Bay South","10017","2015/1/3 20:51",39.9,"0.03","Rain"
"70","B02512",231,2015,1,3,21,"Manhattan","Little Italy/NoLiTa","10012","2015/1/3 21:51",39.9,"0.06","Rain"
"71","B02512",150,2015,1,3,22,"Brooklyn","Prospect Park","11215","2015/1/3 22:51",41,"0.05",""
"72","B02512",234,2015,1,3,23,"Queens","Long Island City/Hunters Point","11101","2015/1/3 23:51",42.1,"0.02","Rain"
"73","B02512",120,2015,1,4,0,"Manhattan","Clinton East","10019","2015/1/4 0:51",42.1,"0.16","Rain"
